FLastName, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,My bologna,0,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,My bolgna,0,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,Checked,1,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,UnChecked,1,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,0,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,Checked,0,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,0,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,Checked,0,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,UnChecked,0,1
b4k3rc6027d0dd96ee558ccf5f4c5bc33c793e4decde40b23ecef697f6bb7da054a1c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,Checked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,Checked,1,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,UnChecked,1,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,Checked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,UnChecked,1,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,1,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,Checked,1,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,6,T/F,,Something can be both New and Improved,False,1,True,UnChecked,1,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,6,T/F,,Something can be both New and Improved,False,1,False,Checked,1,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,gardevoir,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,gardevoir,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,Checked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,Checked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,Checked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,UnChecked,0,1
b3nn36558d720e5fd82c9709c8d9f9411dbff4f5bbae741437d2ae13523647e4a1477, 1,1/16/2025 9:33 AM,1/16/2025 9:36 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,Checked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,UnChecked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,Checked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,UnChecked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,Checked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,Checked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,6,T/F,,Something can be both New and Improved,False,1,True,UnChecked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,6,T/F,,Something can be both New and Improved,False,1,False,Checked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,bologna,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,bologna,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,Checked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,UnChecked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,Checked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,UnChecked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,Checked,1,1
111110f0b74bfb4ac78942311504ec0731eb72237868e7cbdeef73cca601338c31961, 1,1/16/2025 9:30 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,UnChecked,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,Checked,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,Checked,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,Checked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,UnChecked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,Checked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,UnChecked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,UnChecked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,Checked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,My,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,bologna,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,Checked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,UnChecked,1,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,Checked,0,1
c0111301d43886e08ae42b245b851e363b490a10b17e9ae9da81a0eab6d97c7814802, 1,1/16/2025 9:37 AM,1/16/2025 9:38 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,UnChecked,0,1
